"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom(s) (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:isExtentOf","is extent of","est la mesure de","es extensión de","Connects an Extent to a Thing","","","isRelatedTo","Extent","Thing","hasExtent","","","2023-08-28 : Added a new rdfs:label in French; added an xml:lang attribute to the rdfs:comment. | 2023-08-28 : Changed the range (was Instantiation or RecordResource) to Thing ; changed the definition accordingly | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : Fixed the range."
"rico:isExtentTypeOf","is extent type of","est le type de mesure de","es tipo de extensión de","Connects an Extent Type to an Extent that it categorizes.","","","isOrWasTypeOf","ExtentType","Extent","hasExtentType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isFamilyTypeOf","is family type of","est le type de famille de","es tipo de familia de","Connects a Family Type to a Family that it categorizes.","","","isOrWasTypeOf","FamilyType","Family","hasFamilyType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2024-03-15 : Fixed typo in rdfs:comment"
"rico:isFromUseDateOf","is from use date of","est la date à partir de laquelle est utilisé","es fecha desde la que se usa de","Connects a Date to an Appellation, when it is the date at which the Appellation was first used.","","","isBeginningDateOf","Date","Appellation","wasUsedFromDate","","","2023-08-28 : Added a new rdfs:label in French. | 2023-10-19 : Made this property subPropertyOf isBeginningDateOf. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isFunctionallyEquivalentTo","is functionally equivalent to","est fonctionnellement équivalente à","equivale funcionalmente a","Connects two Instantiations which may be considered as equivalent. This relation is symmetric.","Two Instantiations, from some point of view, may be considered as equivalent. This equivalence is usually based upon the fact that the Instantiations have at least the same intellectual content (they instantiate the same Record Resource).","RiC-R035 ('is functionally equivalent to' relation)","isEquivalentTo; isInstantiationAssociatedWithInstantiation","Instantiation","Instantiation","","SymmetricProperty","thingIsConnectedToRelation/functionalEquivalenceRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new functionalEquivalenceRelation_role object property."
"rico:isIdentifierTypeOf","is identifier type of","est le type d’identifiant de","es tipo de identificador de","Connects an Identifier Type and an Identifier that it categorizes.","","","isOrWasTypeOf","IdentifierType","Identifier","hasIdentifierType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isIncludedInProxy","is included in proxy","est inclus dans le proxy","está incluido en el proxy","Connects a Record or Record Set to a Proxy of a Record Set which it is included in, directly or indirectly.","","","isPartOfTransitive","Record ; RecordSet","Proxy","proxyIncludes","","isIncludedInProxy/proxyIsIncludedInProxyTransitive","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:isIncludedInTransitive","is included in transitive","est inclus dans transitif","está incluido en transitivo","Connects a Record to a Record or Record Set in which it is directly or indirectly included. This is a transitive relation.","","","isOrWasIncludedIn; isPartOfTransitive","Record ; RecordSet","RecordSet","includesTransitive","TransitiveProperty","hasProxy/proxyInRecordSet ; isIncludedInProxy/proxyIsIncludedIn","2023-09-08 : Object property added, along with its inverse property, in order to enable to express current partitive relations between Record Sets and their members (the past partitive relation also being added). | 2023-11-13 : Added a French label. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-03-04 : Added two property chain axioms relating it to use of rico:Proxy."
"rico:isInstantiationAssociatedWithInstantiation","is instantiation associated with instantiation","est associée à l’instanciation","se asocia con la instanciación","Connects two Instantiations. This relation is symmetric.","Use only if it is not possible to specify a narrower Instantiation to Instantiation relation, for example is functionally equivalent to.","RiC-R034 ('is instantiation associated with instantiation' relation)","isRelatedTo","Instantiation","Instantiation","","SymmetricProperty","thingIsConnectedToRelation/instantiationToInstantiationRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new instantiationToInstantiationRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:isLastUpdateDateOf","is last update date of","est la date de dernière mise à jour de","es fecha de última actualización de","Connects a Date and a Thing that was last modified at this Date.","","","isModificationDateOf","Date","Thing","wasLastUpdatedAtDate","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isMainThingRepresentedByContentOf","is main thing represented by content of","est la chose principale représentée par le contenu de","es lo principal representado por el contenido de","Inverse of 'has content which mainly represents' object property.","","","isOrWasMainSubjectOf; isRepresentedByContentOf","Thing","Record ; RecordPart","hasContentWhichMainlyRepresents","","","2025-04-04 : Introduced in RiC-O 1.1."
"rico:isMigrationDateOf","is migration date of","est la date de migration de","es fecha de migración de","Connects a Date to an Instantiation that was or will be migrated at that Date.","","","isDerivationDateOf","Date","Instantiation","hasMigrationDate","","isDateAssociatedWithRelation/migrationRelation_role/relationHasSource","2025-02-19 : Added in RiC-O 1.1. | 2025-03-01 : Removed 'Record Resource' from the definition and made this property a subproperty of the new 'isDerivationDateOf' property. | 2025-03-13 : Added the property chain axiom."
"rico:isModificationDateOf","is modification date of","est une date de modification de","es fecha de modificación de","Connects a Date to a Thing that was modified on that Date.","","RiC-R073 ('is modification date of' relation)","isDateAssociatedWith","Date","Thing","hasModificationDate","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasAccumulationDateOfAllMembersOf","is or was accumulation date of all members of","est ou a été la date de accumulation de tous les membres de","es o era fecha de acumulación de todos los miembros de","Connects a Date to a Record Set all of whose present or past members were or will be accumulated at this Date.","","","isDateAssociatedWith","Date","RecordSet","hasOrHadAllMembersWithAccumulationDate","","","2024-10-04 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:isOrWasAccumulationDateOfMostMembersOf","is or was accumulation date of most members of","est ou a été la date d'accumulation de la plupart des membres de","es o era fecha de acumulación de la mayoría de los miembros de","Connects a Date to a Record Set most of whose present or past members were or will be accumulated at this Date.","To be used for specifying a bulk date, i.e. the predominant date of the members of the record set.","","isOrWasAccumulationDateOfSomeMembersOf","Date","RecordSet","hasOrHadMostMembersWithAccumulationDate","","","2024-10-04 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:isOrWasAccumulationDateOfSomeMembersOf","is or was accumulation date of some members of","est ou a été la date d'accumulation de certains membres de","es o era fecha de acumulación de algunos miembros de","Connects a Date to a Record Set some of whose present or past members were or will be accumulated at this Date.","","","isDateAssociatedWith","Date","RecordSet","hasOrHadSomeMembersWithAccumulationDate","","","2024-10-04 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:isOrWasActiveAtDate","is or was active at date","est ou a été actif à la date","está o estuvo activo en la fecha","Inverse of 'is or was activity date of' object property.","","","isAssociatedWithDate","Agent","Date","isOrWasActivityDateOf","","thingIsTargetOfRelation/performanceRelation_role/relationHasDate","2025-03-06 : Introduced in RiC-O 1.1. | 2025-04-03 : Adjusted the rdfs:comment and added French and Spanish labels."
"rico:isOrWasActivityDateOf","is or was date of activity of","est ou a été la date d’activité de","es o era fecha de actividad de","Connects a Date to an Agent that is or was active at that Date.","","","isDateAssociatedWith","Date","Agent","isOrWasActiveAtDate","","isDateAssociatedWithRelation/performanceRelation_role/relationHasTarget","2025-03-06 : Introduced in RiC-O 1.1. | 2025-04-03 : Renamed the property, changed its rdfs:comment, added the property chain axiom and French and Spanish labels."
"rico:isOrWasAdjacentTo","is or was adjacent to","est ou a été adjacent à","es o era un lugar contiguo a","Connects two Places that are or were geographically adjacent. This relation is symmetric.","Use for connecting two adjacent geographical or administrative regions.","RiC-R077 ('is or was adjacent to' relation)","isAssociatedWithPlace; isPlaceAssociatedWith","Place","Place","","SymmetricProperty","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:isOrWasAffectedBy","is or was affected by","est ou a été affecté par","es o era afectado por","Inverse of 'affects or affected' object property.","","RiC-R059i ('is or was affected by' relation)","isOrWasParticipantIn","Thing","Event","affectsOrAffected","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasAgentNameOf","is or was agent name of","est ou a été le nom de","es o era el nombre de agente de","Connects an Agent Name to an Agent it designates or designated.","","","isOrWasNameOf","AgentName","Agent","hasOrHadAgentName","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasAnalogueInstantiationOf","is or was analogue instantiation of","est ou a été une instanciation analogique de","es or era instanciación analogica de","Inverse of 'has or had analogue instantiation' object property.","","","isOrWasInstantiationOf","Instantiation","RecordResource","hasOrHadAnalogueInstantiation","","","2023-08-29 : Added the property. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2023-12-30 : Fixed a typo in the French label."
"rico:isOrWasAppellationOf","is or was appellation of","est ou a été l’appellation de","es o era la denominación de","Connects an Appellation to a Thing that it designates or designated.","","","isRelatedTo","Appellation","Thing","hasOrHadAppellation","","thingIsSourceOfRelation/appellationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Added the property chain axiom so that this property is formally defined as a shortcut (the inverse property already was). | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new appellationRelation_role object property."
"rico:isOrWasAttendedByStudent","is or was attended by student","est ou a été fréquenté par l’étudiant","es o fue atendido por el estudiante","Inverse of 'studies or studied at' object property.","","","hasOrHadMember","Group","Person","studiesOrStudiedAt","","thingIsSourceOfRelation/studyAtRelation_role/relationHasTarget","2024-12-19 : Added in RiC-O 1.1. | 2024-12-23 : Added the French and Spanish labels."
"rico:isOrWasComponentOf","is or was component of","est ou a été un composant de","es o era componente de","Inverse of 'has or had component' object property.","","RiC-R004i ('is or was component of' relation)","isInstantiationAssociatedWithInstantiation; isOrWasPartOf","Instantiation","Instantiation","hasOrHadComponent","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasConstituentOf","is or was constituent of","est ou a été un constituant de","es o era elemento constitutivo de","Inverse of 'has or had constituent' object property.","","RiC-R003i ('is or was constituent of' relation)","isOrWasPartOf; isRecordResourceAssociatedWithRecordResource","Record ; RecordPart","Record ; RecordPart","hasOrHadConstituent","","","2023-08-28 : Added a new rdfs:label in French. | 2023-10-26 : Added RecordPart to the range. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasContainedBy","is or was contained by","est ou a été contenu par","está o estaba contenido en","Inverse of 'contains or contained' object property.","","RiC-R007i ('is or was contained by' relation)","isAssociatedWithPlace; isOrWasPartOf; isPlaceAssociatedWith","Place","Place","containsOrContained","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasContentTypeOfAllMembersOf","is or was content type of all members of","est ou a été le type de contenu de tous les membres de","es o era tipo de contenido de todos los miembros de","Connects a Content Type and a Record Set whose all past or present Record or Record Part members have that Content Type.","","","isOrWasTypeOfAllMembersOf","ContentType","RecordSet","hasOrHadAllMembersWithContentType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasContentTypeOfSomeMembersOf","is or was content type of some members of","est ou a été le type de contenu de certains membres de","es o era tipo de contenido de algunos miembros de","Connects a Content Type and a Record Set whose some past or present Record or Record Part members have that Content Type.","","","isOrWasTypeOfSomeMembersOf","ContentType","RecordSet","hasOrHadSomeMembersWithContentType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasControllerOf","is or was controller of","contrôle ou a contrôlé","es o era controlador de","Connects an Agent to another Agent it controls or controlled.","","RiC-R041 ('is or was controller of' relation)","hasOrHadAuthorityOver; hasOrHadSubordinate","Agent","Agent","hasOrHadController","","thingIsSourceOfRelation/agentControlRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new agentControlRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2024-09-02 : Fixed the French label."
"rico:isOrWasCoordinatesOf","is or was coordinates of","ont ou ont été les coordonnées de","son o eran coordenadas de lugar de","Connects an instance of Coordinates to a Physical Location it locates or located on earth, according to some reference system.","","","isRelatedTo","Coordinates","PhysicalLocation","hasOrHadCoordinates","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasCorporateBodyTypeOf","is or was corporate body type of","est ou a été le type de collectivité de","es o era tipo de institución de","Connects a Corporate Body Type to a Corporate Body that it categorizes or categorized.","","","isOrWasTypeOf","CorporateBodyType","CorporateBody","hasOrHadCorporateBodyType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasCreationDateOfAllMembersOf","is or was creation date of all members of","est ou a été la date de création de tous les membres de","es o era fecha de creación de todos los miembros de","Connects a Date to a Record Set all of whose present or past members were or will be created at this Date.","","RiC-R081 ('is or was creation date of all members of' relation)","isBeginningDateOf","Date","RecordSet","hasOrHadAllMembersWithCreationDate","","","2023-09-22 : Added in RiC-O 1.0. | 2023-10-12 : Added the French label | 2023-10-13 : renamed the property in order to take the past members of the record set into account. Adjusted the annotations accordingly. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-02-19 : Changed definition (added "or will be")."
"rico:isOrWasCreationDateOfMostMembersOf","is or was creation date of most members of","est ou a été la date de création de la plupart des membres de","es o era fecha de creación de la mayoría de los miembros de","Connects a Date to a Record Set most of whose present or past members were or will be created at this Date.","To be used for specifying a bulk date, i.e. the predominant date of the members of the record set.","RiC-R083 ('is or was creation date of most members of' relation)","isOrWasCreationDateOfSomeMembersOf","Date","RecordSet","hasOrHadMostMembersWithCreationDate","","","2023-09-22 : Added in RiC-O 1.0. | 2023-10-10 : Made this property a subproperty of isCreationDateOfSomeMembersOf. | 2023-10-12 : Added the French label | 2023-10-13 : Renamed the property in order to take the past members of the record set into account. Adjusted the annotations accordingly. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-02-19 : Changed definition (added "or will be")."
"rico:isOrWasCreationDateOfSomeMembersOf","is or was creation date of some members of","est ou a été la date de création de certains membres de","es o era fecha de creación de algunos miembros de","Connects a Date to a Record Set some of whose present or past members were or will be created at this Date.","","RiC-R082 ('is or was creation date of some members of' relation)","isBeginningDateOf","Date","RecordSet","hasOrHadSomeMembersWithCreationDate","","","2023-09-22 : Added in RiC-O 1.0. | 2023-10-12 : Added the French label and the rdfs:comment | 2023-10-13 : Renamed the property in order to take the past members of the record set into account. Adjusted the annotations accordingly. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-02-19 : Changed definition (added "or will be")."
"rico:isOrWasDemographicGroupOf","is or was demographic group of","est ou a été le groupe démographique de","es o era grupo demográfico de","Connects a Demographic Group to a Person or Group which belongs or belonged to it.","","","isOrWasTypeOf","DemographicGroup","Group ; Person","hasOrHadDemographicGroup","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2024-10-10 : Changed the French label (replaced 'catégorie' with 'groupe')."
"rico:isOrWasDerivedFromInstantiation","is or was derived from instantiation","est ou a été une instanciation dérivée de","es o era un derivado de instanciación","Inverse of 'has or had derived instantiation' object property.","","RiC-R014i ('is or was derived from instantiation' relation)","followsInTime; isInstantiationAssociatedWithInstantiation","Instantiation","Instantiation","hasOrHadDerivedInstantiation","","thingIsTargetOfRelation/derivationRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated the IRI, inverse property, definition, labels and RiCMCorrespondingComponent; this in order to make the specification compliant with RiC-CM 1.0. The name of the property in RiC-O 0.2 was 'is derived from instantiation'. | 2023-11-07 : Added the property chain axiom so that this property is formally defined as a shortcut (the inverse property already was). | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new derivationRelation_role object property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasDescribedBy","is or was described by","est ou a été décrit par","es o fue descrito por","Inverse of 'describes or described' object property.","","RiC-R021i ('is or was described by' relation)","isOrWasSubjectOf","Thing","RecordResource","describesOrDescribed","","","2023-08-28 : Added a new rdfs:label in French. | 2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasDigitalInstantiationOf","is or was digital instantiation of","est ou a été une instanciation numérique de","es o era instanciación digital de","Inverse of 'has or had digital instantiation' object property.","","","isOrWasInstantiationOf","Instantiation","RecordResource","hasOrHadDigitalInstantiation","","","2023-08-29 : Added the property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasDocumentaryFormTypeOfAllMembersOf","is or was documentary form type of all members of","est ou a été le type de document de tous les membres de","es o era tipo documental de todos los miembros de","Connects a Documentary Form Type and a Record Set whose all past or present Record or Record Part members have that Documentary Form Type.","","","isOrWasTypeOfAllMembersOf","DocumentaryFormType","RecordSet","hasOrHadAllMembersWithDocumentaryFormType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasDocumentaryFormTypeOfSomeMembersOf","is or was documentary form type of some members of","est ou a été le type de document de certains membres de","es o era tipo documental de algunos miembros de","Connects a Documentary Form Type and a Record Set whose some past or present Record or Record Part members have that Documentary Form Type.","","","isOrWasTypeOfSomeMembersOf","DocumentaryFormType","RecordSet","hasOrHadSomeMembersWithDocumentaryFormType","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasEmployerOf","is or was employer of","a ou a été l'employeur de","es o era empleador(a) de","Connects a Corporate Body or a Person to a Person who is or was their employee.","","","isOrWasControllerOf","CorporateBody ; Person","Person","hasOrHadEmployer","","","2023-10-19 : Adder for RiC-O v1.0. | 2023-10-26 : Changed the domain and range of the property. Added a rdfs:comment. Removed the 'has or had member' super-property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasEnforcedBy","is or was enforced by","est ou a été imposé par","es o era una regla aplicada por","Connects a Rule to an Agent that enforces or enforced the Rule.","","RiC-R066 ('is or was enforced by' relation)","isRuleAssociatedWith","Rule","Agent","isOrWasResponsibleForEnforcing","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2024-09-02 : Fixed the French label."
"rico:isOrWasExpressedBy","is or was expressed by","est ou a été exprimé par","es o era una regla expresada en","Connects a Rule to a Record Resource that expresses or expressed the Rule.","","RiC-R064 ('is or was expressed by' relation)","isRuleAssociatedWith","Rule","RecordResource","expressesOrExpressed","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasHolderOf","is or was holder of","détient ou a détenu","es o era conservador de","Connects an Agent to a Record Resource or Instantiation that the Agent holds or held.","","RiC-R039 ('is or was holder of' relation)","isOrWasManagerOf","Agent","Instantiation ; RecordResource","hasOrHadHolder","","thingIsSourceOfRelation/recordResourceHoldingRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new recordResourceHoldingRelation_role object property."
"rico:isOrWasHolderOfIntellectualPropertyRightsOf","is or was holder of intellectual property rights of","détient ou a détenu les droits de propriété intellectuelle sur","es o era conservador de derechos de propiedad intelectual de","Connects an Agent to a Record Resource or Instantiation on which the Agent has or had some intellectual property rights.","","RiC-R040 ('is or was holder of intellectual property rights of' relation)","hasOrHadAuthorityOver","Group ; Person ; Position","Instantiation ; RecordResource","hasOrHadIntellectualPropertyRightsHolder","","thingIsSourceOfRelation/intellectualPropertyRightsRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new intellectualPropertyRightsRelation_role object property."
"rico:isOrWasIdentifierOf","is or was identifier of","est ou a été l’identifiant de","es o era identificador de","Connects an Identifier to a Thing that it identified or identifies.","","","isOrWasAppellationOf","Identifier","Thing","hasOrHadIdentifier","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasIncludedIn","is or was included in","est ou a été inclus dans","está o estaba incluido en","Inverse of 'includes or included' object property.","","RiC-R024i ('is or was included in' relation)","isOrWasPartOf; isRecordResourceAssociatedWithRecordResource","Record ; RecordSet","RecordSet","includesOrIncluded","","","2023-06-05 : Made this object property a subproperty of isOrWasPartOf. | 2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasInstantiationOf","is or was instantiation of","est ou a été une instanciation de","es o era instanciación de","Inverse of 'has or had instantiation' object property.","","RiC-R025i ('is or was instantiation of' relation)","isRelatedTo","Instantiation","RecordResource","hasOrHadInstantiation","","thingIsTargetOfRelation/recordResourceToInstantiationRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated the IRI, inverse property, definition, labels and RiCMCorrespondingComponent; this in order to make the specification compliant with RiC-CM 1.0. The name of the property in RiC-O 0.2 was 'is instantiation of'. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new recordResourceToInstantiationRelation_role object property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasJurisdictionOf","is or was jurisdiction of","est ou a été le ressort de","es o era jurisdicción de","Connects a Place to an Agent that has or had jurisdiction over the Place.","","RiC-R076 ('is or was jurisdiction of' relation)","isPlaceAssociatedWithAgent","Place","Agent","hasOrHadJurisdiction","","","2023-08-28 : Added a new rdfs:label in French. | 2023-10-19 : Made subproperty of new property isPlaceAssociatedWithAgent instead of its parent isPlaceAssociatedWith. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2024-09-02 : Fixed the French label."
"rico:isOrWasLanguageOf","is or was language of","est ou a été la langue de","es o era lengua de","Connects a Language to an Agent, Record or Record Part that uses or used it.","","","isRelatedTo","Language","Agent ; Record ; RecordPart","hasOrHadLanguage","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLanguageOfAllMembersOf","is or was language of all members of","est ou a été la langue de tous les membres de","es o era lengua de todos los miembros de","Connects a Language and a Record Set whose all present or past Record or Record Part members use that Language.","","","isRelatedTo","Language","RecordSet","hasOrHadAllMembersWithLanguage","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLanguageOfSomeMembersOf","is or was language of some members of","est ou a été la langue de certains membres de","es o era lengua de algunos miembros de","Connects a Language and a Record Set whose some present or past Record or Record Part members use that Language.","","","isRelatedTo","Language","RecordSet","hasOrHadSomeMembersWithLanguage","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLeaderOf","is or was leader of","est ou a été le dirigeant de","es o era líder de","Connects a Person to the Group that Person leads or led in the past.","","RiC-R042 ('is or was leader of' relation)","isOrWasControllerOf","Person","Group","hasOrHadLeader","","thingIsSourceOfRelation/leadershipRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new leadershipRelation_role object property."
"rico:isOrWasLegalStatusOf","is or was legal status of","est ou a été le statut légal de","es o era status jurídico de","Connects a Legal Status to an Agent or Record Resource that it categorizes.","Connects a Legal Status to an Agent, Record or Record Part that it categorized or categorizes.","","isOrWasTypeOf","LegalStatus","Agent ; Record ; RecordPart","hasOrHadLegalStatus","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLegalStatusOfAllMembersOf","is or was legal status of all members of","est ou a été le statut légal de tous les membres de","es o era status jurídico de todos los miembros de","Connects a Legal Status and a Record Set whose all past or present Record or Record Part members have that Legal Status.","","","isOrWasTypeOfAllMembersOf","LegalStatus","RecordSet","hasOrHadAllMembersWithLegalStatus","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLegalStatusOfSomeMembersOf","is or was legal status of some members of","est ou a été le statut légal de certains membres de","es o era status jurídico de algunos miembros de","Connects a Legal Status and a Record Set whose some past or present Record or Record Part members have that Legal Status.","","","isOrWasTypeOfSomeMembersOf","LegalStatus","RecordSet","hasOrHadSomeMembersWithLegalStatus","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLocationOf","is or was location of","est ou a été la localisation de","es o era localización de","Connects a Place to a Thing that is or was located in the Place.","","RiC-R075 ('is or was location of' relation)","isPlaceAssociatedWith","Place","Thing","hasOrHadLocation","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLocationOfAgent","is or was location of agent","est ou a été la localisation de l'agent","es o era localización de agente","Connects a Place to an Agent that is or was located in this Place.","","","isOrWasLocationOf; isPlaceAssociatedWithAgent","Place","Agent","agentHasOrHadLocation","","","2023-10-20 : Added for RiC-O 1.0. | 2023-10-26 : Renamed the property and added an rdfs:comment. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasMainSubjectOf","is or was main subject of","est ou a été le sujet principal de","es o era la materia principal de","Inverse of 'has or had main subject' object property.","","RiC-R020i ('is or was main subject of' relation)","isOrWasSubjectOf","Thing","RecordResource","hasOrHadMainSubject","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasMainSubjectOfAllMembersOf","is or was main subject of all members of","est ou a été le sujet principal de tous les membres de","es o era la materia principal de todos los miembros de","Inverse of 'has or had all members with main subject' object property.","","","isOrWasMainSubjectOf; isOrWasSubjectOfAllMembersOf","Thing","RecordSet","hasOrHadAllMembersWithMainSubject","","","2025-04-05 : Introduced in RiC-O 1.1."
"rico:isOrWasMainSubjectOfSomeMembersOf","is or was main subject of some members of","est ou a été le sujet principal de certains membres de","es o era la materia principal de algunos miembros de","Inverse of 'has or had some members with main subject' object property.","","","isOrWasSubjectOfSomeMembersOf","Thing","RecordSet","hasOrHadSomeMembersWithMainSubject","","","2025-04-05 : Introduced in RiC-O 1.1."
