"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom(s) (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:authorizes","authorizes","autorise","controla","Connects a Mandate to the Agent that the Mandate gives the authority or competencies to act.","","RiC-R067 ('authorizes' relation)","isRuleAssociatedWith","Mandate","Agent","authorizedBy","","thingIsSourceOfRelation/mandateRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new mandateRelation_role object property."
"rico:authorizingAgent","authorizing agent","autorisation donnée par l’agent","autorización dada por el agente","Connects a Mandate Relation to an Agent that assigns the Mandate.","","","relationHasContext","MandateRelation","Agent","isAuthorizingAgentInMandateRelation","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-13 : Fixed the rdfs:label in Spanish."
"rico:authorshipRelation_role","has the role of the Authorship Relation","a le rôle de la Relation de responsabilité intellectuelle","desempeña el papel de la Relación de autoría","Connects an AuthorshipRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the AuthorshipRelation class. It should be used only when you have to manage instances of the AuthorshipRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","creationRelation_role","AuthorshipRelation","AuthorshipRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the AuthorshipRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:childRelation_role","has the role of the Child Relation","a le rôle de la Relation de filiation","desempeña el papel de la Relación de filiación","Connects a ChildRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the ChildRelation class. It should be used only when you have to manage instances of the ChildRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","descendanceRelation_role","ChildRelation","ChildRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the ChildRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:contained","contained","a contenu","contenía","Connects a Place to a Place that it contained in the past.","","","containsOrContained; hadPart","Place","Place","wasContainedBy","","","2023-09-05 : Object property added, along with its inverse property, in order to enable to express past partitive relations between places (the current partitive relations being also added, including a transitive one). | 2023-11-12 : Updated the labels, description (rdfs:comment). | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:containsOrContained","contains or contained","contient ou a contenu","contiene o contenía","Connects a Place to a region that is or was within it.","Use for connecting two geographical or administrative regions.","RiC-R007 ('contains or contained' relation)","hasOrHadPart; isAssociatedWithPlace; isPlaceAssociatedWith","Place","Place","isOrWasContainedBy","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:containsTransitive","contains transitive","contient transitif","contiene transitivo","Connects a Place to a Place that it contains, directly or indirectly. This is a transitive relation.","","","containsOrContained; hasPartTransitive","Place","Place","isContainedByTransitive","TransitiveProperty","","2023-09-05 : Object property added, along with its inverse property, in order to enable to express current partitive relations between places (the past partitive relation also being added). | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:correspondenceRelation_role","has the role of the Correspondence Relation","a le rôle de la Relation épistolaire","desempeña el papel de la Relación entre personas por correspondencia","Connects a CorrespondenceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the CorrespondenceRelation class. It should be used only when you have to manage instances of the CorrespondenceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","knowingRelation_role","CorrespondenceRelation","CorrespondenceRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the CorrespondenceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:creationRelation_role","has the role of the Creation Relation","a le rôle de la Relation de création","desempeña el papel de la Relación de creación","Connects a CreationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the CreationRelation class. It should be used only when you have to manage instances of the CreationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","organicProvenanceRelation_role","CreationRelation","CreationRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the CreationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:creationWithRole","creation with role","création avec pour rôle","creación con el rol de","Connects a Creation Relation to the Role Type that the creator Agent(s) has in the creation process","","","relationHasContext","CreationRelation","RoleType","roleIsContextOfCreationRelation","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:derivationRelation_role","has the role of the Derivation Relation","a le rôle de la Relation de dérivation","desempeña el papel de la Relación de derivación","Connects a DerivationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the DerivationRelation class. It should be used only when you have to manage instances of the DerivationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","instantiationToInstantiationRelation_role; temporalRelation_role","DerivationRelation","DerivationRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the DerivationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
